;approval;gender;usia;pinjaman;tenor;pemasukan;tanggungan;pekerjaan;donasi
0;N;M;53;1800000;6;1500000;1;Buruh;0
1;Y;M;61;500000;4;3500000;0;Guru/Dosen;3
2;N;M;33;1000000;6;1200000;0;Pedagang;6
3;N;M;37;1200000;16;1800000;5;Pekerja Lepas;5
4;Y;F;36;1200000;10;4600000;1;Buruh;4
5;Y;M;56;1400000;6;3500000;1;Pekerja Lepas;5
6;N;M;53;500000;3;1200000;2;Pedagang;3
7;Y;M;57;1500000;20;4600000;1;Guru/Dosen;3
8;Y;M;93;2000000;4;2300000;2;Pedagang;1
9;N;M;95;2000000;5;4500000;5;Guru/Dosen;7
10;Y;M;31;1000000;16;5000000;5;Pedagang;5
11;Y;M;30;1000000;12;3500000;0;Pekerja Lepas;2
12;N;M;84;2500000;5;2300000;3;Buruh;1
13;Y;M;86;1200000;8;3000000;2;Pedagang;1
14;N;M;30;1000000;8;1200000;4;Wirausaha;3
15;N;M;78;1000000;6;1500000;4;Pekerja Lepas;4
16;Y;M;88;1800000;3;2300000;3;Pekerja Lepas;3
17;Y;M;35;1900000;16;4600000;1;Buruh;2
18;Y;M;53;500000;6;2300000;5;Pekerja Lepas;1
19;N;M;52;1000000;12;1200000;0;Pedagang;6
20;N;F;58;1000000;4;4000000;4;Buruh;2
21;Y;M;36;1900000;5;4000000;0;Pedagang;6
22;N;F;80;3000000;3;4000000;0;Guru/Dosen;6
23;N;M;42;1900000;4;3000000;1;Buruh;1
24;N;M;38;1800000;10;1200000;5;Pedagang;6
25;N;F;37;1800000;10;2500000;1;Buruh;0
26;Y;F;48;500000;6;2500000;2;Pedagang;0
27;N;M;98;1500000;12;4600000;5;Guru/Dosen;3
28;N;M;73;1800000;10;3000000;3;Guru/Dosen;1
29;Y;F;45;1900000;10;4500000;5;Pedagang;3
30;N;M;31;500000;4;4600000;5;Guru/Dosen;1
31;Y;M;35;1000000;12;4000000;2;Pedagang;8
32;Y;M;80;2500000;20;3000000;1;Wirausaha;1
33;N;F;31;1600000;16;2300000;4;Guru/Dosen;0
34;Y;F;90;2500000;6;5000000;0;Pekerja Lepas;2
35;Y;F;84;1500000;3;4400000;4;Pedagang;5
36;Y;M;41;700000;4;2500000;5;Guru/Dosen;6
37;N;F;41;500000;6;1500000;3;Guru/Dosen;3
38;N;F;34;500000;12;1800000;2;Guru/Dosen;0
39;Y;F;86;1900000;10;2300000;3;Pekerja Lepas;2
40;N;M;55;2500000;10;1800000;0;Wirausaha;1
41;Y;F;87;500000;6;4800000;2;Pedagang;1
42;N;F;40;500000;8;1500000;1;Wirausaha;1
43;N;M;58;1600000;12;4000000;2;Guru/Dosen;1
44;N;M;54;2500000;10;1200000;5;Buruh;5
45;N;M;45;500000;16;1800000;5;Pedagang;5
46;N;M;55;1200000;6;1800000;2;Pedagang;4
47;Y;M;84;1400000;5;5000000;1;Pekerja Lepas;7
48;Y;M;98;500000;6;5000000;5;Pedagang;1
49;N;M;76;700000;10;3000000;4;Buruh;4
50;N;M;37;1200000;16;2500000;1;Guru/Dosen;5
51;Y;M;96;1400000;10;4000000;4;Pedagang;1
52;Y;F;66;1600000;6;4800000;0;Wirausaha;3
53;Y;F;74;1600000;20;3500000;2;Pekerja Lepas;3
54;N;F;100;1500000;12;2300000;1;Buruh;7
55;Y;M;32;1200000;4;4000000;0;Guru/Dosen;1
56;N;M;52;1900000;3;5000000;2;Guru/Dosen;0
57;N;M;83;1500000;16;4500000;0;Buruh;2
58;N;M;42;1400000;12;2000000;4;Pedagang;4
59;Y;F;31;2500000;3;4400000;1;Pedagang;5
60;Y;M;25;2500000;5;4800000;0;Buruh;0
61;N;M;80;1200000;3;5000000;5;Buruh;1
62;N;F;41;2500000;16;1500000;0;Pedagang;8
63;Y;M;51;1400000;8;4400000;1;Wirausaha;4
64;N;M;84;1600000;20;2000000;4;Pekerja Lepas;1
65;Y;M;64;2500000;5;2300000;2;Pekerja Lepas;8
66;Y;F;25;1200000;8;2500000;1;Pedagang;1
67;N;F;45;1600000;3;2000000;3;Guru/Dosen;2
68;Y;F;30;1200000;10;4400000;1;Pekerja Lepas;0
69;Y;M;35;1400000;20;4600000;2;Wirausaha;3
70;Y;F;29;2000000;4;2500000;5;Wirausaha;1
71;N;M;58;1800000;12;1500000;1;Pekerja Lepas;2
72;N;M;91;1900000;6;3000000;1;Guru/Dosen;3
73;N;F;72;1000000;10;1200000;1;Guru/Dosen;1
74;Y;M;73;2500000;6;4800000;4;Pedagang;4
75;Y;M;21;1400000;8;4800000;4;Pedagang;5
76;Y;M;70;1800000;10;3000000;1;Pedagang;0
77;Y;F;55;1400000;5;3000000;2;Pekerja Lepas;5
78;N;M;45;1200000;10;2300000;2;Guru/Dosen;4
79;Y;M;71;2000000;12;4600000;5;Pekerja Lepas;0
80;Y;M;100;700000;6;4600000;1;Pedagang;1
81;Y;M;40;1200000;8;4800000;4;Wirausaha;0
82;N;F;22;3000000;8;1500000;0;Wirausaha;6
83;Y;F;53;1200000;16;4500000;3;Pekerja Lepas;2
84;N;M;100;1200000;8;1800000;5;Pedagang;3
85;N;M;100;700000;4;4600000;3;Buruh;0
86;Y;F;48;1900000;12;4600000;1;Pekerja Lepas;1
87;N;M;44;500000;16;2000000;0;Pekerja Lepas;1
88;Y;M;23;2500000;10;4800000;2;Wirausaha;2
89;N;M;55;2500000;10;2000000;1;Wirausaha;5
90;Y;M;59;1400000;4;4400000;3;Pedagang;0
91;Y;F;71;1400000;12;2300000;2;Wirausaha;1
92;N;F;46;1000000;8;2000000;2;Pekerja Lepas;7
93;N;M;41;3000000;4;1800000;5;Buruh;3
94;N;M;69;500000;16;4500000;3;Buruh;3
95;N;F;88;1000000;6;1800000;3;Pedagang;1
96;N;M;41;1600000;20;1500000;0;Pedagang;1
97;N;M;38;2000000;20;3500000;5;Guru/Dosen;1
98;Y;M;44;700000;8;4500000;1;Pedagang;6
99;Y;F;96;1500000;5;4600000;4;Pedagang;4
100;Y;M;62;1000000;5;4600000;2;Pedagang;1
101;Y;M;56;1500000;3;5000000;2;Pedagang;5
102;N;F;36;500000;3;1200000;3;Pedagang;5
103;Y;M;61;1200000;16;3500000;3;Pekerja Lepas;5
104;Y;M;85;2000000;12;5000000;2;Pekerja Lepas;1
105;Y;M;51;1200000;4;5000000;1;Pekerja Lepas;4
106;N;M;82;1000000;10;1800000;4;Guru/Dosen;6
107;Y;M;65;500000;10;3500000;2;Pedagang;6
108;Y;M;58;1900000;10;2500000;0;Pedagang;6
109;N;M;32;1000000;10;2500000;3;Guru/Dosen;1
110;N;F;40;1200000;3;1800000;0;Pekerja Lepas;2
111;N;F;69;1800000;10;2000000;1;Wirausaha;1
112;Y;F;96;1200000;5;4600000;4;Pekerja Lepas;8
113;N;M;45;500000;20;1500000;5;Guru/Dosen;0
114;Y;F;64;1200000;10;3500000;5;Pekerja Lepas;5
115;Y;M;42;1600000;6;3500000;1;Pedagang;4
116;Y;M;78;2500000;20;3000000;0;Pekerja Lepas;0
117;N;M;40;2000000;10;5000000;4;Guru/Dosen;2
118;N;M;61;1800000;10;1500000;4;Wirausaha;1
119;Y;M;69;500000;3;4600000;2;Pekerja Lepas;5
120;N;M;52;1400000;4;1200000;3;Pekerja Lepas;0
121;Y;M;50;1200000;8;3500000;3;Pedagang;8
122;N;M;50;700000;4;2000000;4;Pedagang;7
123;Y;M;63;1900000;20;5000000;1;Pedagang;1
124;Y;M;49;2500000;4;4800000;0;Pekerja Lepas;4
125;N;M;93;1600000;12;5000000;3;Guru/Dosen;3
126;Y;M;29;1400000;12;4000000;5;Wirausaha;0
127;Y;M;34;1800000;12;4500000;2;Pekerja Lepas;1
128;N;F;54;1400000;12;2000000;4;Pedagang;0
129;Y;M;57;1600000;6;2300000;2;Pedagang;3
130;N;M;39;2000000;10;2500000;2;Guru/Dosen;0
131;N;M;89;1200000;10;1500000;4;Pedagang;3
132;Y;F;45;2500000;3;4600000;2;Wirausaha;7
133;Y;M;46;700000;10;3500000;4;Buruh;6
134;N;M;47;1500000;3;1200000;1;Pekerja Lepas;2
135;N;M;41;1200000;12;4400000;5;Buruh;4
136;Y;F;32;1500000;3;2500000;0;Guru/Dosen;1
137;Y;M;71;1500000;10;5000000;1;Pedagang;0
138;N;F;94;700000;6;1200000;5;Pedagang;1
139;Y;F;43;500000;4;3000000;1;Pedagang;2
140;N;M;81;2500000;16;3500000;4;Guru/Dosen;4
141;Y;M;88;1800000;12;4500000;5;Pedagang;6
142;N;M;67;1500000;20;2000000;0;Wirausaha;8
143;Y;F;49;700000;10;2300000;4;Pekerja Lepas;2
144;Y;F;86;1200000;12;3500000;1;Wirausaha;5
145;Y;F;90;700000;16;4600000;3;Pedagang;2
146;N;M;23;2000000;10;4600000;3;Guru/Dosen;3
147;N;M;55;1500000;16;2000000;1;Pedagang;5
148;Y;M;83;1000000;12;2500000;0;Wirausaha;4
149;Y;M;68;1400000;6;3000000;3;Pekerja Lepas;2
150;N;M;37;500000;8;2000000;1;Pedagang;3
151;Y;F;73;1200000;4;4400000;3;Pekerja Lepas;1
152;Y;F;28;1400000;16;4500000;3;Wirausaha;2
153;Y;F;100;500000;4;4600000;3;Wirausaha;6
154;N;M;26;1200000;5;4800000;5;Buruh;4
155;Y;M;56;500000;6;4000000;5;Pedagang;4
156;N;F;87;1200000;4;4500000;3;Buruh;4
157;Y;M;86;1500000;10;5000000;5;Wirausaha;5
158;N;M;62;1600000;10;1500000;5;Pekerja Lepas;7
159;N;M;22;1800000;10;5000000;2;Buruh;4
160;Y;F;39;2000000;10;3000000;4;Pedagang;6
161;Y;F;22;1900000;6;2300000;5;Wirausaha;2
162;N;F;71;700000;4;3000000;5;Guru/Dosen;1
163;Y;M;45;1900000;10;4000000;0;Guru/Dosen;4
164;Y;F;32;1000000;20;3500000;2;Wirausaha;4
165;Y;M;41;1200000;8;3500000;1;Pedagang;1
166;Y;M;26;1200000;3;3000000;5;Pedagang;4
167;Y;M;31;1000000;20;5000000;5;Pedagang;7
168;N;M;49;500000;12;2000000;4;Pekerja Lepas;1
169;N;M;100;1500000;3;1500000;3;Pedagang;6
170;N;F;42;1600000;3;4500000;5;Guru/Dosen;2
171;Y;M;61;500000;4;4800000;0;Guru/Dosen;4
172;N;M;44;500000;12;3000000;4;Buruh;4
173;N;M;64;2500000;8;4400000;3;Guru/Dosen;0
174;Y;M;22;2000000;16;4500000;1;Pekerja Lepas;2
175;Y;M;91;1900000;12;4400000;3;Pedagang;6
176;N;M;29;1400000;4;4800000;2;Buruh;5
177;Y;M;37;2500000;12;3000000;2;Wirausaha;0
178;Y;M;72;1000000;3;4600000;4;Pekerja Lepas;4
179;N;F;91;1400000;12;5000000;2;Buruh;1
180;N;F;82;700000;10;1800000;2;Pekerja Lepas;1
181;Y;M;62;1500000;4;4000000;5;Pedagang;6
182;Y;F;29;1900000;5;4400000;3;Pedagang;0
183;Y;F;63;3000000;16;3500000;1;Buruh;6
184;N;F;85;2000000;5;2500000;2;Guru/Dosen;2
185;Y;F;29;1200000;10;4000000;0;Pedagang;2
186;N;M;89;1500000;10;4500000;0;Buruh;2
187;Y;M;89;1900000;4;3000000;1;Wirausaha;2
188;N;F;62;1800000;4;1500000;4;Pedagang;1
189;N;F;42;1500000;4;1200000;4;Wirausaha;6
190;Y;M;83;1200000;3;4500000;5;Pedagang;5
191;N;M;57;1500000;4;3000000;4;Buruh;3
192;N;M;27;500000;10;1200000;0;Pedagang;0
193;N;F;96;1500000;5;2000000;2;Wirausaha;1
194;N;M;33;3000000;3;3500000;1;Guru/Dosen;1
195;N;M;33;2500000;10;2000000;1;Pedagang;3
196;Y;M;44;1800000;6;4000000;4;Pedagang;0
197;N;M;65;500000;4;4400000;3;Guru/Dosen;4
198;Y;M;30;1200000;20;3000000;1;Pedagang;4
199;N;F;45;2500000;8;1800000;3;Buruh;2
200;Y;F;83;1200000;6;4500000;1;Pedagang;0
201;N;M;34;2000000;16;1500000;4;Pedagang;0
202;Y;M;88;500000;8;3000000;2;Pekerja Lepas;0
203;Y;F;37;1400000;12;4600000;4;Pedagang;1
204;Y;M;22;700000;20;4800000;0;Wirausaha;0
205;N;F;67;1900000;6;1500000;5;Pekerja Lepas;0
