Gender;Usia;Pinjaman;Tenor;Pemasukan;Tanggungan;Pekerjaan;Donasi
M;53;1800000;6;1500000;1;Buruh;0
M;61;500000;4;3500000;0;Guru/Dosen;3
M;33;1000000;6;1200000;0;Pedagang;6
M;37;1200000;16;1800000;5;Pekerja Lepas;5
F;36;1200000;10;4600000;1;Buruh;4
M;56;1400000;6;3500000;1;Pekerja Lepas;5
M;53;500000;3;1200000;2;Pedagang;3
M;57;1500000;20;4600000;1;Guru/Dosen;3
M;93;2000000;4;2300000;2;Pedagang;1
M;95;2000000;5;4500000;5;Guru/Dosen;7
M;31;1000000;16;5000000;5;Pedagang;5
M;30;1000000;12;3500000;0;Pekerja Lepas;2
M;84;2500000;5;2300000;3;Buruh;1
M;86;1200000;8;3000000;2;Pedagang;1
M;30;1000000;8;1200000;4;Wirausaha;3
M;78;1000000;6;1500000;4;Pekerja Lepas;4
M;88;1800000;3;2300000;3;Pekerja Lepas;3
M;35;1900000;16;4600000;1;Buruh;2
M;53;500000;6;2300000;5;Pekerja Lepas;1
M;52;1000000;12;1200000;0;Pedagang;6
F;58;1000000;4;4000000;4;Buruh;2
M;36;1900000;5;4000000;0;Pedagang;6
F;80;3000000;3;4000000;0;Guru/Dosen;6
M;42;1900000;4;3000000;1;Buruh;1
M;38;1800000;10;1200000;5;Pedagang;6
F;37;1800000;10;2500000;1;Buruh;0
F;48;500000;6;2500000;2;Pedagang;0
M;98;1500000;12;4600000;5;Guru/Dosen;3
M;73;1800000;10;3000000;3;Guru/Dosen;1
F;45;1900000;10;4500000;5;Pedagang;3
M;31;500000;4;4600000;5;Guru/Dosen;1
M;35;1000000;12;4000000;2;Pedagang;8
M;80;2500000;20;3000000;1;Wirausaha;1
F;31;1600000;16;2300000;4;Guru/Dosen;0
F;90;2500000;6;5000000;0;Pekerja Lepas;2
F;84;1500000;3;4400000;4;Pedagang;5
M;41;700000;4;2500000;5;Guru/Dosen;6
F;41;500000;6;1500000;3;Guru/Dosen;3
F;34;500000;12;1800000;2;Guru/Dosen;0
F;86;1900000;10;2300000;3;Pekerja Lepas;2
M;55;2500000;10;1800000;0;Wirausaha;1
F;87;500000;6;4800000;2;Pedagang;1
F;40;500000;8;1500000;1;Wirausaha;1
M;58;1600000;12;4000000;2;Guru/Dosen;1
M;54;2500000;10;1200000;5;Buruh;5
M;45;500000;16;1800000;5;Pedagang;5
M;55;1200000;6;1800000;2;Pedagang;4
M;84;1400000;5;5000000;1;Pekerja Lepas;7
M;98;500000;6;5000000;5;Pedagang;1
M;76;700000;10;3000000;4;Buruh;4
M;37;1200000;16;2500000;1;Guru/Dosen;5
M;96;1400000;10;4000000;4;Pedagang;1
F;66;1600000;6;4800000;0;Wirausaha;3
F;74;1600000;20;3500000;2;Pekerja Lepas;3
F;100;1500000;12;2300000;1;Buruh;7
