;approval;gender;usia; pinjaman;tenor;pemasukan;tanggungan;pekerjaan
0;N;M;43;700000;8;1200000;3;Wirausaha
1;Y;M;31;500000;10;2300000;5;Pedagang
2;N;F;79;1600000;10;1800000;2;Pedagang
3;N;F;80;2500000;4;4000000;0;Guru/Dosen
4;Y;M;92;500000;4;3000000;3;Pedagang
5;N;M;40;1800000;8;1500000;0;Pedagang
6;N;M;37;3000000;3;1200000;1;Pedagang
7;Y;M;69;3000000;8;2300000;3;Wirausaha
8;N;M;72;1800000;10;1800000;2;Pekerja Lepas
9;Y;F;24;3000000;3;4500000;4;Pekerja Lepas
10;N;M;36;1200000;8;1500000;3;Pedagang
11;N;F;49;500000;12;4500000;4;Buruh
12;Y;F;47;1200000;12;4400000;4;Wirausaha
13;N;M;99;1500000;3;3000000;1;Guru/Dosen
14;N;M;38;1200000;20;2300000;5;Buruh
15;N;M;65;500000;16;2300000;2;Buruh
16;N;M;92;1400000;3;4500000;1;Guru/Dosen
17;N;M;25;1800000;10;3000000;3;Buruh
18;Y;F;66;2000000;16;4600000;4;Pekerja Lepas
19;Y;M;76;1800000;10;5000000;4;Pedagang
20;N;M;67;700000;12;2000000;4;Pedagang
21;Y;M;45;1600000;3;2300000;2;Pedagang
22;Y;M;67;1000000;6;4500000;2;Wirausaha
23;N;M;96;1200000;6;4000000;0;Buruh
24;Y;M;83;1800000;4;5000000;2;Pedagang
25;Y;F;77;1400000;3;4400000;5;Pedagang
26;Y;M;20;2500000;3;3000000;0;Pekerja Lepas
27;Y;M;79;1200000;6;4400000;0;Wirausaha
28;Y;F;50;500000;16;5000000;5;Wirausaha
29;N;F;28;1200000;6;1200000;2;Pedagang
30;N;M;98;1200000;5;4500000;3;Guru/Dosen
31;N;M;51;1900000;5;1200000;5;Pedagang
32;N;M;86;1800000;10;5000000;5;Guru/Dosen
33;Y;M;39;2500000;20;2500000;5;Pedagang
34;N;F;72;1800000;4;4400000;3;Guru/Dosen
35;Y;F;86;3000000;5;4400000;0;Pedagang
36;Y;F;83;1600000;3;4600000;1;Pedagang
37;N;M;61;1200000;8;1200000;5;Wirausaha
38;Y;M;49;1200000;4;4800000;0;Pekerja Lepas
39;Y;M;58;1200000;4;4800000;0;Pedagang
40;N;M;36;500000;16;3000000;2;Buruh
41;N;F;57;700000;4;1200000;2;Pedagang
42;N;F;24;1200000;4;1800000;4;Buruh
43;Y;M;89;1000000;6;4000000;0;Wirausaha
44;Y;M;32;700000;4;4400000;4;Pedagang
45;N;M;92;500000;10;1200000;0;Wirausaha
46;N;M;90;1500000;16;4600000;4;Guru/Dosen
47;Y;M;89;500000;10;3000000;2;Pedagang
48;Y;M;48;1000000;4;4600000;2;Wirausaha
49;N;F;64;2500000;3;4000000;5;Guru/Dosen
50;Y;M;91;500000;5;5000000;0;Pekerja Lepas
51;N;M;57;1900000;10;2000000;3;Guru/Dosen
52;Y;F;20;2500000;3;2500000;3;Pedagang
53;N;M;30;1500000;4;4600000;4;Guru/Dosen
54;N;M;27;500000;4;1200000;5;Guru/Dosen
55;N;M;86;500000;10;5000000;3;Buruh
56;Y;F;63;1200000;16;5000000;2;Pedagang
57;N;M;45;1000000;8;4000000;1;Buruh
58;N;M;98;1500000;3;1200000;5;Pedagang
59;Y;M;40;1200000;8;3000000;2;Pedagang
60;N;M;39;1200000;3;3500000;4;Guru/Dosen
61;Y;M;77;2000000;10;4600000;4;Pekerja Lepas
62;Y;M;67;1600000;10;3500000;2;Pedagang
63;N;F;73;1800000;8;2000000;1;Pedagang
64;Y;M;53;1200000;16;4400000;4;Pedagang
65;N;F;91;2500000;16;1800000;5;Buruh
66;N;M;26;500000;10;1200000;2;Pedagang
67;Y;F;21;500000;3;2300000;4;Wirausaha
68;N;M;33;1400000;10;1200000;4;Buruh
69;Y;M;84;1000000;10;4800000;4;Wirausaha
70;Y;F;45;1600000;20;4500000;2;Pedagang
71;Y;F;90;1600000;10;4500000;0;Wirausaha
72;Y;F;36;1200000;10;3500000;1;Buruh
73;Y;M;36;1200000;16;3000000;0;Pedagang
74;N;F;62;1000000;8;2000000;2;Wirausaha
75;Y;M;41;3000000;10;4000000;5;Pedagang
76;N;M;31;1200000;5;2000000;4;Buruh
77;Y;M;32;2500000;8;3500000;0;Wirausaha
78;Y;M;81;1900000;4;2300000;1;Wirausaha
79;Y;M;96;1900000;6;2300000;4;Pedagang
80;Y;M;82;1400000;16;2300000;0;Pedagang
81;Y;M;59;1800000;4;3000000;1;Pedagang
82;Y;M;82;2500000;10;3000000;0;Wirausaha
83;N;M;92;700000;10;4800000;1;Buruh
84;N;F;51;1400000;20;3000000;5;Guru/Dosen
85;N;F;96;2500000;20;4400000;2;Guru/Dosen
86;N;F;76;1200000;5;4800000;0;Buruh
87;N;M;20;1600000;6;1200000;0;Guru/Dosen
88;N;M;33;700000;16;3500000;5;Buruh
89;N;M;76;700000;10;4500000;1;Buruh
90;Y;M;78;2000000;4;2300000;0;Pedagang
91;N;F;46;1400000;4;1500000;4;Guru/Dosen
92;Y;F;40;1800000;8;4500000;4;Pekerja Lepas
93;N;M;74;2000000;3;2000000;3;Pedagang
94;Y;F;66;1900000;16;4600000;2;Pedagang
95;Y;M;83;1200000;12;4500000;2;Pekerja Lepas
96;Y;M;20;1900000;20;4500000;1;Wirausaha
97;N;M;70;500000;8;1800000;2;Pedagang
98;Y;M;23;1200000;16;2300000;0;Pekerja Lepas
99;Y;M;95;1500000;10;4800000;5;Pedagang
100;Y;F;94;500000;10;2500000;1;Pedagang
101;N;M;43;3000000;16;1500000;0;Pedagang
102;Y;M;96;500000;5;3500000;0;Pedagang
103;N;M;55;700000;6;4500000;1;Buruh
104;Y;M;50;1900000;20;4800000;0;Pedagang
105;N;F;23;1200000;8;1800000;2;Pedagang
106;N;F;58;1000000;16;1500000;1;Pedagang
107;Y;M;92;1600000;5;3000000;5;Pedagang
108;N;M;80;500000;5;2000000;5;Pedagang
109;Y;M;53;500000;5;4600000;5;Pekerja Lepas
110;Y;M;90;500000;10;4800000;2;Pedagang
111;Y;M;75;2000000;12;4000000;0;Pedagang
112;N;F;79;500000;4;1500000;0;Wirausaha
113;Y;M;98;1900000;5;3500000;3;Pedagang
114;N;M;98;1200000;12;1500000;2;Pekerja Lepas
115;Y;M;52;1800000;8;5000000;1;Pedagang
116;N;F;65;1900000;10;4600000;0;Guru/Dosen
117;N;M;36;1600000;6;4600000;3;Buruh
118;N;M;69;3000000;4;2000000;2;Guru/Dosen
119;Y;M;98;3000000;3;4800000;4;Pekerja Lepas
120;N;M;50;1000000;6;4400000;2;Buruh
121;N;F;46;2000000;12;1800000;4;Buruh
122;N;F;38;1900000;4;1500000;0;Wirausaha
123;Y;F;47;2500000;20;2300000;3;Pedagang
124;Y;M;76;1400000;4;4800000;0;Pedagang
125;Y;F;65;1200000;12;4500000;2;Pedagang
126;N;F;37;500000;4;2000000;2;Pedagang
127;N;F;52;700000;16;1200000;2;Pekerja Lepas
128;N;M;80;1900000;10;3500000;4;Buruh
129;Y;M;62;1800000;6;5000000;1;Pekerja Lepas
130;Y;M;82;2500000;20;2300000;3;Pedagang
131;N;M;63;1200000;16;4000000;2;Guru/Dosen
132;Y;M;100;1600000;12;4600000;2;Pedagang
133;N;M;31;3000000;16;1500000;0;Pedagang
134;Y;F;71;2000000;8;4500000;2;Pedagang
135;N;F;52;2500000;3;2000000;5;Pekerja Lepas
136;N;M;54;1200000;16;3000000;1;Buruh
137;N;M;89;500000;5;1800000;0;Buruh
138;Y;M;94;500000;8;4000000;3;Wirausaha
139;N;F;49;2500000;12;4400000;5;Guru/Dosen
140;Y;F;98;1200000;10;4400000;2;Pedagang
141;N;M;37;2000000;4;4400000;3;Buruh
142;Y;F;30;2500000;6;2500000;2;Pedagang
143;Y;M;24;2000000;4;4000000;5;Wirausaha
144;N;M;90;1400000;6;5000000;4;Guru/Dosen
145;Y;M;30;1200000;10;2500000;3;Pedagang
146;N;M;88;1600000;10;3000000;0;Buruh
147;N;M;64;500000;16;3500000;1;Guru/Dosen
148;Y;M;22;1200000;5;4400000;3;Pekerja Lepas
149;N;M;66;500000;4;1200000;3;Guru/Dosen
150;N;M;77;1200000;12;1500000;1;Pedagang
151;Y;M;42;1200000;8;2300000;1;Pedagang
152;Y;M;57;1600000;20;4400000;2;Pekerja Lepas
153;Y;M;49;2000000;6;4400000;0;Pekerja Lepas
154;N;F;82;1200000;8;1200000;3;Wirausaha
155;N;F;48;1500000;8;2000000;1;Guru/Dosen
156;Y;M;22;1200000;6;3500000;3;Wirausaha
157;N;M;70;1200000;4;4800000;1;Buruh
158;Y;M;27;500000;10;5000000;5;Wirausaha
159;Y;M;24;700000;12;4800000;3;Pedagang
160;N;M;35;1900000;10;1200000;0;Pedagang
161;Y;F;81;1200000;12;4500000;0;Wirausaha
162;Y;F;43;2000000;10;4600000;4;Wirausaha
163;N;F;49;700000;4;1500000;5;Buruh
164;Y;M;77;1200000;4;4600000;5;Pekerja Lepas
165;N;M;59;700000;5;1200000;3;Buruh
166;Y;F;72;3000000;4;4600000;0;Pedagang
167;N;M;58;1000000;16;5000000;5;Buruh
168;N;F;50;1600000;16;2300000;3;Guru/Dosen
169;Y;M;57;500000;4;5000000;2;Wirausaha
170;Y;F;89;1400000;16;4400000;3;Pedagang
