usia,pinjaman,tenor,pemasukan,tanggungan,pekerjaan,pinjaman ke-,telat bayar,donasi
25,500000,20,4800000,0,Buruh,4,0,8
70,3000000,4,1500000,5,Pedagang,1,6,0
95,1600000,4,1500000,3,Pedagang,3,3,6
37,1000000,12,5000000,3,Pekerja Lepas,2,1,5
26,1900000,6,4400000,2,Guru/Dosen,2,4,1
46,1400000,12,1200000,3,Wirausaha,5,3,0
74,1200000,20,3000000,5,Wirausaha,3,4,3
84,1400000,12,3500000,3,Wirausaha,5,5,0
69,1500000,16,3500000,2,Wirausaha,2,6,0
93,1600000,10,2500000,5,Wirausaha,1,1,1
65,1400000,10,3000000,3,Guru/Dosen,2,4,3
36,1200000,8,1800000,1,Guru/Dosen,2,6,5
40,1000000,10,4800000,5,Buruh,1,4,8
20,3000000,10,4000000,0,Guru/Dosen,3,3,4
42,500000,3,4800000,5,Wirausaha,2,3,5
81,1000000,5,4400000,2,Wirausaha,4,0,1
88,1400000,6,4600000,4,Buruh,5,3,1
87,1200000,16,4600000,3,Guru/Dosen,2,4,1
70,1400000,16,2500000,4,Buruh,5,3,0
71,2000000,4,4800000,4,Pedagang,4,2,1
56,1400000,10,4500000,3,Pedagang,5,6,3
24,1800000,5,4500000,4,Pedagang,3,5,3
59,1400000,3,2500000,1,Buruh,5,6,4
76,700000,10,4000000,5,Guru/Dosen,1,1,1
52,3000000,3,1800000,0,Pedagang,4,1,0
65,1200000,4,2000000,0,Buruh,2,6,6
49,1600000,5,2500000,3,Guru/Dosen,2,5,1
94,3000000,10,3500000,3,Pekerja Lepas,1,2,5
27,1000000,4,1800000,4,Pedagang,5,2,1
93,2000000,8,1200000,4,Buruh,5,3,4
77,700000,4,2500000,0,Guru/Dosen,3,2,3
92,2500000,3,4800000,0,Pedagang,5,1,7
71,1900000,10,3000000,0,Pedagang,3,1,1
33,1800000,12,4400000,3,Buruh,1,3,1
93,1900000,6,2500000,0,Guru/Dosen,5,0,4
74,2000000,3,2000000,0,Pedagang,2,0,1
75,1800000,12,5000000,2,Pekerja Lepas,2,2,2
81,1000000,6,5000000,1,Pedagang,5,3,1
74,500000,16,1500000,2,Guru/Dosen,1,6,4
37,700000,20,4000000,0,Wirausaha,2,6,1
50,1200000,4,4800000,4,Pekerja Lepas,3,3,2
53,1600000,20,3500000,1,Pedagang,1,3,1
64,1200000,3,2000000,1,Pekerja Lepas,3,5,1
32,3000000,6,4500000,0,Pekerja Lepas,2,2,0
99,1000000,8,2500000,0,Guru/Dosen,4,2,5
86,2000000,6,3000000,1,Guru/Dosen,5,1,1
58,1400000,12,3000000,0,Pekerja Lepas,5,4,3
41,1900000,10,3000000,4,Guru/Dosen,2,0,0
54,700000,8,2000000,0,Buruh,1,0,3
66,1500000,8,1500000,5,Pedagang,2,0,4
89,2000000,4,1800000,3,Guru/Dosen,2,0,1
85,2000000,6,2000000,3,Guru/Dosen,5,2,6
66,2000000,10,4800000,2,Buruh,4,6,0
37,1600000,16,1500000,1,Pedagang,4,1,0
39,1200000,4,1200000,3,Buruh,1,3,8
44,3000000,10,4400000,5,Buruh,4,6,3
62,1200000,8,2500000,4,Pekerja Lepas,2,3,3
66,700000,16,4400000,4,Pedagang,4,3,0
22,2000000,10,2500000,0,Pekerja Lepas,3,6,6
66,1500000,20,4400000,5,Buruh,4,1,3
59,2500000,10,2300000,5,Pedagang,1,3,5
47,500000,4,4000000,3,Buruh,3,5,2
81,1200000,4,2000000,0,Guru/Dosen,3,0,8
85,1200000,4,5000000,2,Buruh,2,6,3
92,3000000,10,2300000,3,Buruh,1,4,6
98,1400000,4,4800000,1,Guru/Dosen,4,1,6
47,2500000,10,1800000,4,Pekerja Lepas,4,3,7
60,500000,6,4800000,5,Pedagang,1,3,1
70,1600000,8,2500000,0,Pedagang,5,5,2
30,1500000,20,3500000,5,Guru/Dosen,4,0,7
38,1200000,8,4500000,0,Guru/Dosen,1,3,6
33,1200000,4,4000000,2,Guru/Dosen,5,3,1
88,1000000,4,4500000,1,Pedagang,5,4,3
83,1000000,4,2300000,5,Wirausaha,1,4,2
48,2500000,12,4000000,2,Guru/Dosen,4,2,4
74,1000000,5,5000000,1,Pekerja Lepas,1,6,0
91,500000,10,1200000,0,Pedagang,5,5,5
60,500000,10,5000000,4,Pedagang,1,5,1
96,1200000,3,2300000,5,Guru/Dosen,2,3,0
81,1000000,10,4400000,4,Wirausaha,5,6,2
34,1900000,4,4400000,2,Pedagang,4,1,6
25,1200000,5,4400000,0,Pedagang,2,2,3
85,1500000,16,1800000,2,Pekerja Lepas,5,5,5
55,700000,3,3000000,0,Pekerja Lepas,5,2,0
83,700000,12,2000000,5,Pedagang,2,6,7
87,1200000,4,2500000,2,Wirausaha,3,5,4
76,1200000,4,4600000,3,Pedagang,4,5,0
68,2000000,6,3000000,2,Pedagang,4,0,5
32,700000,3,4400000,2,Guru/Dosen,4,2,4
81,1000000,6,5000000,1,Wirausaha,5,2,1
89,1000000,16,2500000,2,Pedagang,3,4,8
68,1800000,8,1200000,1,Pedagang,5,0,6
59,1600000,10,1500000,1,Pedagang,4,6,3
54,1500000,5,5000000,4,Pekerja Lepas,4,5,8
25,1000000,10,4500000,4,Pedagang,2,4,3
26,1400000,12,4000000,0,Buruh,3,2,1
59,1200000,6,2500000,3,Pedagang,2,6,1
42,1200000,16,1800000,0,Pedagang,5,3,5
31,1000000,8,4000000,0,Pedagang,2,0,4
97,2000000,8,2500000,3,Wirausaha,3,4,2
76,1500000,5,2300000,3,Pedagang,1,2,4
31,1900000,12,5000000,4,Pekerja Lepas,2,4,1
90,2000000,12,1500000,5,Buruh,1,1,2
73,1200000,5,2300000,2,Pekerja Lepas,3,2,1
62,500000,8,4800000,1,Buruh,2,5,0
85,1400000,4,5000000,4,Wirausaha,3,3,0
35,1200000,4,1200000,0,Buruh,4,2,0
43,2500000,16,1200000,1,Guru/Dosen,3,6,6
95,1500000,4,2500000,2,Guru/Dosen,2,2,6
70,2000000,8,3500000,4,Buruh,5,6,1
72,1000000,6,2300000,3,Pekerja Lepas,3,0,1
55,1200000,10,2000000,1,Wirausaha,5,0,2
62,500000,12,2300000,1,Guru/Dosen,1,6,1
40,700000,10,2000000,2,Pedagang,2,1,0
84,1600000,4,4500000,1,Pedagang,1,5,6
100,500000,20,1200000,1,Wirausaha,1,0,1
98,1200000,8,3500000,5,Pekerja Lepas,1,6,8
21,2500000,4,4400000,1,Buruh,5,0,1
79,3000000,4,4600000,3,Pedagang,5,2,0
21,1900000,10,3500000,0,Pekerja Lepas,2,3,4
90,1400000,3,4400000,4,Buruh,3,2,6
49,1600000,4,3500000,3,Pekerja Lepas,2,5,0
56,1200000,3,2000000,3,Buruh,2,2,7
58,1200000,8,4500000,4,Guru/Dosen,2,3,4
68,1200000,10,4600000,3,Buruh,2,1,1
20,1200000,20,5000000,1,Wirausaha,5,3,6
49,1900000,6,4000000,3,Pekerja Lepas,4,4,7
28,1600000,8,5000000,1,Pedagang,1,1,5
52,1200000,10,2300000,3,Guru/Dosen,1,6,1
55,1200000,4,3000000,5,Pedagang,3,1,1
27,3000000,20,1200000,1,Guru/Dosen,1,6,5
46,1200000,5,1500000,3,Guru/Dosen,3,4,7
97,1200000,3,3500000,2,Buruh,1,6,4
48,500000,10,1500000,2,Buruh,4,6,0
94,700000,4,4600000,4,Guru/Dosen,5,2,1
68,500000,4,1200000,3,Pedagang,3,3,1
45,2500000,20,4800000,4,Buruh,4,1,2
77,3000000,3,1800000,3,Buruh,5,3,7
66,1400000,20,1800000,1,Pedagang,3,2,5
22,1000000,20,2000000,2,Pedagang,1,2,0
94,1600000,6,3500000,2,Guru/Dosen,1,6,0
66,1000000,3,4500000,0,Pedagang,1,6,0
28,1200000,3,4400000,5,Pekerja Lepas,2,2,0
52,2000000,5,5000000,2,Guru/Dosen,1,6,0
52,1900000,20,2300000,4,Wirausaha,5,3,5
35,700000,6,2300000,1,Wirausaha,5,5,6
88,1600000,10,3500000,1,Pekerja Lepas,1,5,6
41,3000000,10,4000000,3,Pekerja Lepas,5,6,1
70,1500000,20,2000000,5,Pedagang,5,2,0
51,700000,12,3500000,1,Wirausaha,5,4,2
20,1800000,4,2300000,3,Pekerja Lepas,2,4,0
96,2000000,6,2300000,0,Wirausaha,2,4,0
59,1200000,4,4000000,2,Wirausaha,4,4,1
74,3000000,4,4800000,4,Pedagang,3,1,5
57,500000,16,2300000,5,Pekerja Lepas,3,0,1
49,1000000,12,4800000,2,Guru/Dosen,3,6,8
91,700000,10,4600000,4,Pekerja Lepas,3,0,5
88,700000,4,3000000,1,Pekerja Lepas,5,1,3
85,1200000,12,1200000,1,Wirausaha,2,5,6
36,1600000,5,4600000,4,Buruh,1,6,1
37,1900000,4,1500000,3,Pedagang,1,2,1
24,700000,4,5000000,5,Buruh,2,2,2
28,1600000,16,4500000,4,Guru/Dosen,2,5,0
67,700000,4,4500000,2,Guru/Dosen,2,5,8
98,700000,5,2000000,4,Pedagang,5,1,6
59,2500000,3,4000000,3,Wirausaha,2,1,6
26,2000000,4,4600000,1,Wirausaha,1,1,3
91,1500000,3,1800000,2,Pekerja Lepas,4,0,2
80,1000000,4,4800000,0,Guru/Dosen,5,5,1
56,2500000,8,3500000,4,Wirausaha,3,4,2
43,3000000,20,1200000,4,Pedagang,5,5,7
99,1200000,3,4400000,1,Buruh,1,5,8
53,1900000,4,4500000,5,Guru/Dosen,1,0,7
91,1200000,4,4000000,4,Buruh,5,5,5
76,1200000,4,4400000,1,Pekerja Lepas,4,0,1
85,500000,16,2500000,4,Guru/Dosen,4,6,0
20,1200000,5,2500000,3,Pedagang,5,6,0
54,500000,10,1200000,0,Buruh,5,1,0
36,2500000,4,4600000,0,Buruh,2,4,5
27,2000000,20,3500000,3,Wirausaha,5,5,0
50,2500000,4,4600000,3,Wirausaha,1,5,4
53,2000000,4,4800000,5,Wirausaha,3,0,6
82,500000,4,2000000,5,Wirausaha,3,4,5
92,1200000,16,4000000,3,Pedagang,4,3,1
48,1200000,20,4600000,0,Pekerja Lepas,5,3,1
55,2500000,16,4600000,4,Buruh,5,0,5
68,3000000,10,2000000,5,Buruh,2,5,3
21,1200000,12,2000000,5,Pedagang,5,3,1
98,3000000,16,4800000,2,Pekerja Lepas,3,6,6
29,1400000,5,2500000,4,Pedagang,4,1,3
47,1200000,16,2500000,1,Pedagang,1,4,1
100,1400000,8,3000000,4,Wirausaha,5,4,0
99,3000000,10,4500000,3,Guru/Dosen,2,3,1
58,2500000,16,1500000,1,Pedagang,2,3,0
97,1500000,3,1500000,2,Buruh,4,4,0
38,2000000,10,3500000,5,Wirausaha,5,2,2
68,1900000,6,2000000,2,Pedagang,5,6,1
95,1200000,12,4400000,3,Buruh,5,5,6
55,1400000,10,4000000,2,Pedagang,4,6,0
83,2500000,10,5000000,1,Pedagang,1,4,1
53,3000000,10,3500000,3,Wirausaha,4,2,3
39,2500000,10,2300000,0,Pekerja Lepas,1,3,5
65,1400000,10,3500000,2,Pedagang,3,3,4
39,1200000,3,1200000,1,Pedagang,1,0,0
99,1400000,10,2500000,5,Pedagang,5,0,5
81,700000,12,4000000,2,Pekerja Lepas,2,0,0
26,1200000,16,2300000,3,Buruh,2,2,3
50,2500000,5,2300000,0,Buruh,4,6,0
83,1900000,16,2300000,0,Pedagang,3,2,3
62,1500000,6,2300000,2,Wirausaha,5,6,6
31,2000000,5,1800000,3,Pedagang,3,4,5
51,1200000,10,1500000,1,Guru/Dosen,4,5,3
80,1200000,6,1500000,5,Pedagang,4,2,2
25,500000,10,4400000,1,Pedagang,4,4,7
98,2000000,4,2000000,2,Guru/Dosen,5,1,1
26,3000000,4,3500000,5,Wirausaha,5,3,7
96,1200000,6,5000000,5,Buruh,2,3,6
66,1600000,4,4000000,3,Guru/Dosen,2,6,7
100,1200000,4,1500000,3,Pekerja Lepas,4,5,0
80,1200000,10,1800000,2,Guru/Dosen,4,5,0
60,1600000,3,3500000,0,Pekerja Lepas,5,3,2
24,500000,16,3000000,3,Pedagang,5,3,4
42,1200000,4,4800000,5,Guru/Dosen,5,3,5
96,1800000,3,4800000,3,Pedagang,1,2,0
49,500000,4,4800000,0,Pedagang,5,0,5
62,3000000,8,5000000,0,Wirausaha,5,4,1
30,1800000,10,1500000,5,Pedagang,3,5,2
48,3000000,4,4500000,4,Guru/Dosen,4,2,3
