,usia,econ,pekerjaan,pinjaman ke,telat bayar,donasi,score
0,2.0,5.0,2.0,3.0,0.0,3.0,849.969
1,1.0,0.0,1.0,1.0,3.0,0.0,110.833
2,1.0,0.0,1.0,2.0,2.0,3.0,324.13599999999997
3,2.0,5.0,1.0,2.0,1.0,2.0,657.896
4,2.0,5.0,2.0,2.0,2.0,1.0,664.156
5,2.0,0.0,1.0,3.0,2.0,0.0,288.749
6,1.0,4.0,1.0,2.0,2.0,1.0,511.156
7,1.0,5.0,1.0,3.0,3.0,0.0,592.499
8,1.0,5.0,1.0,2.0,3.0,0.0,521.6659999999999
9,1.0,2.0,1.0,1.0,1.0,1.0,319.323
10,1.0,4.0,2.0,2.0,2.0,1.0,574.906
11,2.0,2.0,2.0,2.0,3.0,2.0,487.646
12,2.0,5.0,2.0,1.0,2.0,3.0,678.303
13,2.0,5.0,2.0,2.0,2.0,2.0,706.646
14,2.0,5.0,1.0,2.0,2.0,2.0,642.896
15,1.0,5.0,1.0,3.0,0.0,1.0,679.989
16,1.0,5.0,2.0,3.0,2.0,1.0,713.739
17,1.0,5.0,2.0,2.0,2.0,1.0,642.906
18,1.0,3.0,2.0,3.0,2.0,0.0,535.249
19,1.0,4.0,1.0,3.0,2.0,1.0,581.989
20,2.0,5.0,1.0,3.0,3.0,1.0,656.239
21,2.0,5.0,1.0,2.0,3.0,1.0,585.406
22,2.0,1.0,2.0,3.0,3.0,2.0,490.47900000000004
23,1.0,5.0,2.0,1.0,1.0,1.0,587.073
24,2.0,0.0,1.0,3.0,1.0,0.0,303.749
25,1.0,2.0,2.0,2.0,3.0,3.0,508.88599999999997
26,2.0,1.0,2.0,2.0,3.0,1.0,377.156
27,1.0,4.0,1.0,1.0,2.0,2.0,482.813
28,2.0,0.0,1.0,3.0,2.0,1.0,331.23900000000003
29,1.0,0.0,2.0,3.0,2.0,2.0,416.22900000000004
30,1.0,4.0,2.0,2.0,2.0,1.0,574.906
31,1.0,3.0,1.0,3.0,1.0,3.0,613.969
32,1.0,4.0,1.0,2.0,1.0,1.0,526.156
33,2.0,5.0,2.0,1.0,2.0,1.0,593.323
34,1.0,2.0,2.0,3.0,0.0,2.0,582.229
35,1.0,0.0,1.0,2.0,0.0,1.0,269.156
36,1.0,5.0,1.0,2.0,2.0,1.0,579.156
37,1.0,5.0,1.0,3.0,2.0,1.0,649.989
38,1.0,2.0,2.0,1.0,3.0,2.0,395.563
39,2.0,5.0,1.0,2.0,3.0,1.0,585.406
40,2.0,5.0,1.0,2.0,2.0,1.0,600.406
41,2.0,5.0,1.0,1.0,2.0,1.0,529.573
42,2.0,0.0,1.0,2.0,3.0,1.0,245.406
43,2.0,5.0,1.0,2.0,2.0,0.0,557.9159999999999
44,1.0,4.0,2.0,3.0,2.0,2.0,688.229
45,1.0,3.0,2.0,3.0,1.0,1.0,592.739
46,2.0,5.0,1.0,3.0,2.0,1.0,671.239
47,2.0,3.0,2.0,2.0,0.0,0.0,515.6659999999999
48,2.0,3.0,2.0,1.0,0.0,1.0,487.323
49,1.0,0.0,1.0,2.0,0.0,2.0,311.646
50,1.0,0.0,2.0,2.0,0.0,1.0,332.906
51,1.0,0.0,2.0,3.0,2.0,3.0,458.71900000000005
52,1.0,5.0,2.0,3.0,3.0,0.0,656.249
53,2.0,2.0,1.0,3.0,1.0,0.0,439.749
54,2.0,0.0,2.0,1.0,2.0,3.0,338.303
55,2.0,5.0,2.0,3.0,3.0,1.0,719.989
56,2.0,3.0,1.0,2.0,2.0,1.0,464.406
57,1.0,5.0,1.0,3.0,2.0,0.0,607.499
58,2.0,3.0,1.0,2.0,3.0,3.0,534.386
59,1.0,5.0,2.0,3.0,1.0,1.0,728.739
60,2.0,1.0,1.0,1.0,2.0,2.0,300.063
61,2.0,5.0,2.0,2.0,3.0,1.0,649.156
62,1.0,2.0,2.0,2.0,0.0,3.0,553.886
63,1.0,5.0,2.0,2.0,3.0,1.0,627.906
64,1.0,1.0,2.0,1.0,2.0,3.0,385.053
65,1.0,5.0,2.0,3.0,1.0,3.0,813.719
66,2.0,0.0,1.0,3.0,2.0,3.0,416.21900000000005
67,2.0,5.0,1.0,1.0,2.0,1.0,529.573
68,1.0,3.0,1.0,3.0,3.0,1.0,498.98900000000003
69,2.0,5.0,2.0,3.0,0.0,3.0,849.969
70,2.0,5.0,2.0,1.0,2.0,3.0,678.303
71,2.0,5.0,2.0,3.0,2.0,1.0,734.989
72,1.0,5.0,1.0,3.0,2.0,1.0,649.989
