usia,pinjaman,tenor,pemasukan,tanggungan,pekerjaan,pinjaman ke,telat bayar,donasi,score
2,700000,8,4500000,5,1,2,3,3,640.38
2,1200000,6,3000000,3,1,3,1,2,596.87
2,1200000,10,1200000,2,1,3,0,3,514.2
2,500000,4,4500000,1,1,3,2,1,679.54
2,1200000,10,1500000,5,1,3,2,3,396.2
2,1600000,4,2300000,3,1,2,2,2,297.05
1,1900000,12,2000000,3,2,3,1,0,493.46
2,1200000,3,1200000,5,1,3,3,1,314.54
2,1800000,12,2300000,5,1,3,3,3,507.2
2,1800000,16,2500000,4,1,1,1,2,455.23
2,1400000,10,4800000,3,1,1,2,3,594.56
2,1200000,20,4400000,5,1,1,2,2,566.23
2,1400000,10,3000000,1,2,2,1,2,657.8
2,2000000,20,2000000,0,1,2,3,0,419.39
1,1200000,4,3500000,1,1,3,3,1,544.04
2,1200000,6,1200000,4,1,1,1,1,222.9
2,500000,3,2500000,5,2,1,1,2,450.98
2,1500000,5,1500000,5,1,3,2,2,367.87
1,700000,8,2500000,1,2,2,2,3,618.63
2,1400000,12,1200000,2,2,3,0,1,521.29
2,500000,8,1800000,4,1,2,1,3,486.38
2,500000,12,1200000,3,2,1,3,2,332.98
2,700000,10,1500000,5,1,2,2,3,393.38
1,1200000,3,4800000,1,1,2,0,0,587.89
2,1200000,20,4000000,4,1,2,0,0,630.39
2,1900000,4,2300000,3,2,2,3,1,307.47
2,1200000,3,3000000,1,2,2,3,1,443.47
1,1200000,10,4500000,1,1,2,3,3,597.88
2,1200000,4,5000000,5,1,3,2,1,679.54
2,2500000,16,4800000,1,1,2,1,1,633.72
2,1200000,6,5000000,2,2,2,2,2,700.8
2,1200000,12,5000000,4,2,3,2,1,743.29
2,500000,16,4500000,1,2,2,2,2,700.8
2,2000000,3,1200000,4,1,1,3,1,172.9
1,1800000,4,4000000,2,1,2,2,1,498.22
2,2500000,5,4500000,1,1,3,3,1,654.54
2,3000000,12,4600000,4,1,2,0,0,630.39
2,500000,20,4800000,2,2,1,1,0,598.32
2,1800000,5,2300000,1,1,2,2,0,308.39
2,3000000,4,4800000,1,1,3,0,1,593.54
1,2500000,12,2300000,1,1,3,1,3,582.7
2,1200000,10,1200000,5,1,2,0,2,347.05
2,2500000,16,3000000,5,1,2,2,3,529.38
2,1900000,5,3500000,0,1,2,3,2,544.05
2,1200000,20,4600000,0,1,3,2,2,707.87
2,1200000,16,4600000,1,2,2,3,2,675.8
2,1600000,5,4600000,2,2,1,2,1,601.65
2,1500000,12,3500000,2,1,2,2,3,665.38
2,1500000,10,4800000,4,1,2,3,1,583.72
2,700000,4,4400000,0,1,2,2,1,608.72
2,1200000,3,2300000,4,1,3,3,0,286.21
2,500000,6,4600000,4,1,2,3,1,583.72
2,1200000,4,2500000,0,1,2,2,0,444.39
2,700000,8,2500000,4,1,2,2,2,501.05
2,1900000,3,2500000,3,1,2,1,0,265.39
2,500000,10,4400000,1,2,2,1,1,697.47
2,1200000,20,2500000,3,1,1,2,1,469.9
2,1800000,8,4000000,5,1,1,2,3,594.56
2,700000,16,4500000,5,2,2,3,0,619.14
2,2500000,10,4000000,1,1,3,3,1,654.54
2,1500000,12,3500000,5,2,2,3,0,551.14
