usia;pinjaman;tenor;pemasukan;tanggungan;pekerjaan;pinjaman ke-;telat bayar;donasi
25;500000;20;4800000;0;Buruh;4;0;300
70;3000000;4;1500000;5;Pedagang;1;6;0
56;1600000;4;1500000;2;Wirausaha;2;5;284
92;1200000;10;2000000;5;Pedagang;1;1;90
92;1200000;12;1200000;2;Wirausaha;4;5;232
89;1200000;10;4000000;5;Buruh;1;5;77
38;1400000;8;1500000;0;Guru/Dosen;5;6;96
97;1200000;10;4600000;3;Pekerja Lepas;3;1;62
25;1800000;20;2300000;0;Pedagang;3;0;11
85;1200000;10;4600000;1;Wirausaha;4;2;145
21;1600000;4;1500000;1;Wirausaha;4;0;206
68;1200000;16;4500000;3;Buruh;3;6;188
86;1200000;16;4800000;2;Pedagang;3;6;216
36;1600000;4;4600000;5;Pedagang;4;2;251
63;1200000;6;4000000;4;Pedagang;2;1;56
75;3000000;16;2300000;0;Pedagang;5;5;93
31;1900000;8;4800000;1;Buruh;3;3;282
22;1800000;5;4600000;0;Pedagang;1;5;138
44;1800000;8;5000000;4;Wirausaha;2;0;141
28;1500000;3;3000000;1;Pedagang;5;5;181
67;1900000;4;4600000;3;Pedagang;1;0;60
59;1200000;10;4000000;1;Wirausaha;2;3;49
76;1400000;16;2000000;1;Guru/Dosen;3;3;7
51;700000;4;4500000;0;Wirausaha;2;2;50
68;1500000;5;1800000;4;Pekerja Lepas;3;4;115
69;1000000;10;2300000;3;Buruh;4;0;81
30;1900000;3;4600000;1;Wirausaha;3;5;133
61;1600000;3;4800000;4;Pekerja Lepas;5;3;94
88;1500000;6;1500000;0;Pedagang;3;5;274
100;500000;20;5000000;0;Buruh;3;6;102
20;1500000;10;1500000;3;Pedagang;3;0;161
83;1000000;10;2300000;0;Wirausaha;5;3;135
67;1000000;3;1800000;1;Wirausaha;4;5;273
44;1500000;12;2300000;3;Buruh;3;2;247
51;1000000;16;1500000;5;Buruh;2;1;247
67;1800000;12;4600000;2;Pedagang;5;3;64
77;1000000;10;1500000;4;Buruh;5;3;209
36;500000;10;4800000;5;Buruh;5;6;280
37;1400000;5;4600000;5;Buruh;5;6;15
48;500000;16;5000000;2;Pedagang;3;5;281
53;3000000;5;2500000;0;Pedagang;1;6;4
80;1800000;16;2000000;5;Pekerja Lepas;2;1;138
65;1200000;10;3000000;3;Wirausaha;1;3;196
62;1600000;6;2300000;4;Pedagang;1;2;211
63;500000;16;2000000;4;Pedagang;4;3;19
20;2500000;12;4000000;0;Pedagang;3;6;173
24;2500000;12;1800000;0;Wirausaha;4;2;160
67;1500000;10;5000000;1;Pedagang;5;0;25
79;1200000;6;1800000;0;Wirausaha;5;2;53
30;700000;4;4000000;3;Guru/Dosen;3;5;293
48;3000000;20;4600000;2;Pekerja Lepas;2;6;230
69;2000000;20;4500000;4;Pedagang;5;0;229
53;1500000;4;2300000;1;Pedagang;5;5;52
20;1000000;8;2500000;2;Buruh;5;2;99
21;500000;10;4800000;2;Buruh;3;4;144
72;1200000;10;4000000;0;Pedagang;1;6;161
41;1500000;10;3500000;3;Buruh;5;3;222
71;1500000;8;1800000;4;Pedagang;2;6;80
57;1500000;6;4000000;0;Pekerja Lepas;5;3;16
52;1500000;10;2500000;2;Guru/Dosen;3;6;206
84;2000000;16;3000000;1;Wirausaha;3;2;284
75;1800000;4;4500000;1;Buruh;4;4;101
81;1600000;20;4400000;0;Guru/Dosen;1;2;190
23;500000;3;3500000;3;Pedagang;4;4;21
75;3000000;16;4600000;3;Pedagang;2;1;267
38;1200000;16;1200000;4;Wirausaha;3;5;102
20;1800000;6;4800000;5;Pedagang;4;5;300
20;700000;6;4400000;5;Guru/Dosen;2;0;78
65;1500000;16;2300000;3;Pedagang;4;0;101
36;1800000;3;1800000;2;Pedagang;4;1;41
82;1400000;6;3000000;4;Pedagang;1;3;259
31;3000000;6;4400000;1;Pedagang;1;6;108
68;1200000;16;1800000;3;Buruh;4;2;57
47;2500000;8;3000000;3;Buruh;5;1;2
73;1500000;4;4500000;5;Guru/Dosen;5;0;255
38;500000;3;1800000;2;Wirausaha;3;4;83
50;2500000;4;2300000;0;Guru/Dosen;2;4;285
95;1000000;20;4800000;4;Pekerja Lepas;3;4;10
42;2500000;12;4000000;3;Pekerja Lepas;5;5;63
23;2500000;4;1200000;0;Pekerja Lepas;5;1;300
88;2000000;6;3500000;1;Guru/Dosen;5;6;119
85;1200000;6;4000000;1;Buruh;3;3;20
