usia,pinjaman,tenor,pemasukan,tanggungan,pekerjaan,pinjaman ke-,telat bayar,donasi
25,500000,20,4800000,0,Buruh,4,0,10
70,3000000,4,1500000,5,Pedagang,1,6,0
82,1600000,3,1800000,3,Pekerja Lepas,2,1,3
24,1400000,16,3000000,4,Pedagang,1,5,8
65,1200000,16,2500000,4,Pekerja Lepas,3,6,1
43,3000000,6,1200000,4,Guru/Dosen,1,0,7
93,1600000,5,3500000,4,Pedagang,1,1,1
100,1400000,20,4800000,3,Wirausaha,2,3,2
100,500000,4,4800000,4,Wirausaha,1,3,5
20,1500000,8,4500000,0,Pedagang,3,3,0
39,500000,3,3000000,2,Buruh,2,5,1
84,500000,3,1500000,5,Pedagang,3,0,5
89,1800000,3,3500000,5,Buruh,1,6,3
23,1500000,5,4400000,1,Guru/Dosen,5,1,2
28,500000,12,1800000,2,Guru/Dosen,3,1,0
95,500000,6,2000000,3,Wirausaha,4,2,7
92,1000000,6,4600000,3,Guru/Dosen,3,6,3
88,1800000,10,4500000,1,Pedagang,5,6,2
80,1200000,16,5000000,5,Buruh,2,5,7
56,500000,6,4000000,2,Pedagang,2,3,10
23,500000,20,4000000,2,Pedagang,4,0,5
56,1900000,12,4000000,4,Pedagang,4,2,9
49,500000,3,1800000,4,Guru/Dosen,1,0,10
98,700000,16,1200000,0,Buruh,3,0,5
73,1200000,5,4600000,5,Pedagang,3,6,5
81,1200000,10,1800000,5,Buruh,5,3,3
97,1900000,8,4400000,1,Pedagang,1,2,8
86,1400000,3,2000000,2,Pedagang,4,5,0
41,1500000,16,4600000,2,Wirausaha,3,2,10
62,1800000,8,4600000,5,Guru/Dosen,5,6,1
43,1400000,4,2500000,1,Buruh,4,2,4
91,500000,6,4600000,2,Wirausaha,3,2,8
77,3000000,20,1500000,4,Pedagang,1,5,5
79,700000,4,3000000,4,Pedagang,3,3,9
78,1200000,10,2500000,2,Guru/Dosen,3,6,4
91,1000000,6,1200000,4,Guru/Dosen,4,1,6
42,3000000,3,4500000,5,Pekerja Lepas,2,2,4
83,1400000,10,3000000,1,Guru/Dosen,2,6,1
49,1800000,3,4000000,1,Wirausaha,2,6,2
78,1200000,8,4600000,3,Pedagang,1,3,6
52,2500000,10,4600000,0,Guru/Dosen,5,4,4
25,1200000,4,1500000,0,Pedagang,5,4,4
25,1800000,8,3000000,0,Buruh,5,2,2
82,1500000,10,4600000,2,Wirausaha,1,6,3
48,1500000,5,2000000,5,Pekerja Lepas,3,5,8
65,1600000,16,2300000,5,Pekerja Lepas,1,5,6
92,2000000,6,2300000,3,Buruh,4,6,7
98,1400000,10,4500000,5,Pekerja Lepas,4,6,5
44,2000000,16,4000000,0,Buruh,3,3,3
56,700000,3,2500000,4,Pekerja Lepas,4,0,0
79,2500000,10,4600000,5,Wirausaha,2,6,6
54,1200000,10,2000000,0,Wirausaha,2,2,10
33,1000000,10,1800000,1,Buruh,5,5,8
33,2000000,16,4600000,2,Pedagang,1,1,0
96,3000000,6,1200000,4,Buruh,2,6,4
45,500000,10,4400000,3,Guru/Dosen,5,2,0
67,2500000,4,1800000,3,Pedagang,1,5,2
71,3000000,10,4400000,4,Wirausaha,2,6,5
86,1500000,4,4500000,4,Buruh,2,2,7
61,1800000,4,5000000,0,Pekerja Lepas,4,1,6
53,3000000,5,4800000,2,Pedagang,5,0,10
41,1000000,16,4800000,2,Guru/Dosen,2,4,9
41,3000000,8,3000000,1,Pedagang,4,5,7
68,1200000,12,4000000,4,Pedagang,5,3,3
50,1400000,4,4800000,1,Guru/Dosen,3,2,8
98,2000000,3,1500000,0,Pekerja Lepas,4,1,2
78,2000000,10,4600000,3,Wirausaha,5,2,8
86,1600000,20,1800000,3,Pedagang,1,6,0
39,1400000,5,4500000,1,Pedagang,2,4,4
28,1800000,4,4600000,1,Pedagang,4,5,5
44,3000000,3,1200000,1,Buruh,3,2,4
51,3000000,6,3000000,0,Buruh,1,3,6
57,2500000,4,4800000,2,Guru/Dosen,3,4,9
68,1400000,12,4600000,3,Guru/Dosen,2,5,10
72,1800000,16,4500000,4,Guru/Dosen,2,2,0
36,1200000,16,4000000,1,Wirausaha,4,6,1
24,1200000,20,2300000,0,Buruh,4,5,8
36,1000000,12,1800000,4,Pedagang,4,2,10
92,1800000,4,2000000,2,Wirausaha,5,1,3
31,700000,3,1200000,5,Guru/Dosen,1,6,6
84,1200000,8,1200000,1,Pedagang,5,4,5
43,1500000,16,2300000,5,Buruh,2,5,3
42,1800000,8,1800000,3,Pedagang,4,0,10
