usia,pinjaman,tenor,pemasukan,tanggungan,pekerjaan,pinjaman ke,telat bayar,donasi,score
2,500000,20,4800000,0,2,3,0,10,849.969
1,3000000,4,1500000,5,1,1,3,0,110.833
1,1600000,3,1800000,3,1,2,1,3,254.156
2,1400000,16,3000000,4,1,1,3,8,531.553
1,1200000,16,2500000,4,1,2,3,1,428.156
2,3000000,6,1200000,4,2,1,0,7,368.303
1,1600000,5,3500000,4,1,1,1,1,387.323
1,1400000,20,4800000,3,1,2,2,2,579.156
1,500000,4,4800000,4,1,1,2,5,550.813
2,1500000,8,4500000,0,1,2,2,0,557.916
2,500000,3,3000000,2,2,2,3,1,581.156
1,500000,3,1500000,5,1,2,0,5,311.646
1,1800000,3,3500000,5,2,1,3,3,217.073
2,1500000,5,4400000,1,2,3,1,2,749.989
2,500000,12,1800000,2,2,2,1,0,500.666
1,500000,6,2000000,3,1,3,2,7,530.969
1,1000000,6,4600000,3,2,2,3,3,627.906
1,1800000,10,4500000,1,1,3,3,2,634.989
1,1200000,16,5000000,5,2,2,3,7,712.886
2,500000,6,4000000,2,1,2,2,10,685.386
2,500000,20,4000000,2,1,3,0,5,743.729
2,1900000,12,4000000,4,1,3,2,9,756.219
2,500000,3,1800000,4,2,1,0,10,436.303
1,700000,16,1200000,0,2,2,0,5,511.396
1,1200000,5,4600000,5,1,2,3,5,606.646
1,1200000,10,1800000,5,2,3,2,3,441.739
1,1900000,8,4400000,1,1,1,2,8,593.303
1,1400000,3,2000000,2,1,3,3,0,252.499
2,1500000,16,4600000,2,1,2,2,10,685.386
2,1800000,8,4600000,5,2,3,3,1,719.989
2,1400000,4,2500000,1,2,3,2,4,573.479
1,500000,6,4600000,2,1,2,2,8,664.136
1,3000000,20,1500000,4,1,1,3,5,195.813
1,700000,4,3000000,4,1,2,2,9,528.136
1,1200000,10,2500000,2,2,2,3,4,534.396
1,1000000,6,1200000,4,2,3,1,6,473.719
2,3000000,3,4500000,5,1,2,2,4,302.896
1,1400000,10,3000000,1,2,2,3,1,559.906
2,1800000,3,4000000,1,1,2,3,2,449.406
1,1200000,8,4600000,3,1,1,2,6,593.303
2,2500000,10,4600000,0,2,3,2,4,777.479
2,1200000,4,1500000,0,1,3,2,4,373.729
2,1800000,8,3000000,0,2,3,2,2,666.989
1,1500000,10,4600000,2,1,1,3,3,493.323
2,1500000,5,2000000,5,1,2,3,8,330.386
1,1600000,16,2300000,5,1,1,3,6,374.303
1,2000000,6,2300000,3,2,3,3,7,511.719
1,1400000,10,4500000,5,1,3,3,5,677.479
2,2000000,16,4000000,0,2,2,2,3,664.156
2,700000,3,2500000,4,1,3,0,0,454.749
1,2500000,10,4600000,5,1,2,3,6,649.136
2,1200000,10,2000000,0,1,2,2,10,549.386
2,1000000,10,1800000,1,2,3,3,8,600.969
2,2000000,16,4600000,2,1,1,1,0,502.083
1,3000000,6,1200000,4,2,2,3,4,330.396
2,500000,10,4400000,3,2,3,2,0,692.499
1,2500000,4,1800000,3,1,1,3,2,153.323
1,3000000,10,4400000,4,1,2,3,5,606.646
1,1500000,4,4500000,4,2,2,2,7,727.886
2,1800000,4,5000000,0,1,3,1,6,771.219
2,3000000,5,4800000,2,1,3,0,10,718.219
2,1000000,16,4800000,2,2,2,2,9,749.136
2,3000000,8,3000000,1,1,3,3,7,605.219
1,1200000,12,4000000,4,1,3,2,3,649.989
2,1400000,4,4800000,1,2,2,2,8,749.136
1,2000000,3,1500000,0,1,3,1,2,324.989
1,2000000,10,4600000,3,1,3,2,8,734.969
1,1600000,20,1800000,3,1,1,3,0,246.833
2,1400000,5,4500000,1,1,2,2,4,642.896
2,1800000,4,4600000,1,1,3,3,5,698.729
2,3000000,3,1200000,1,2,2,2,4,366.646
2,3000000,6,3000000,0,2,1,2,6,474.303
2,2500000,4,4800000,2,2,2,2,9,681.136
1,1400000,12,4600000,3,2,2,3,10,712.886
1,1800000,16,4500000,4,2,2,2,0,600.416
2,1200000,16,4000000,1,1,3,3,1,656.239
2,1200000,20,2300000,0,2,3,3,8,736.969
2,1000000,12,1800000,4,1,3,2,10,552.219
1,1800000,4,2000000,2,1,3,1,3,324.989
2,700000,3,1200000,5,2,1,3,6,323.303
1,1200000,8,1200000,1,1,3,2,5,420.479
2,1500000,16,2300000,5,2,2,3,3,445.156
2,1800000,8,1800000,3,1,3,0,10,514.219
2,1000000,12,4600000,1,1,2,0,8,715.386
2,2500000,10,4500000,4,1,3,3,10,741.219
1,2500000,8,4800000,5,1,3,2,9,734.969
2,3000000,4,1500000,3,1,1,2,5,232.063
1,1800000,16,3000000,3,1,2,3,4,538.646
2,2500000,20,3000000,5,1,2,2,4,506.896
1,1200000,5,1800000,2,1,2,3,8,377.136
2,1200000,5,4600000,0,1,2,3,5,627.896
2,500000,20,2000000,4,1,2,1,8,564.386
2,1900000,16,4400000,0,1,3,1,8,771.219
2,1800000,12,1800000,3,1,3,0,9,514.219
